stop_id,stop_code,stop_name,stop_lat,stop_lon,location_type,stop_timezone,wheelchair_boarding
1AARD,5009,Avrillé - Ardenne,47.511525,-0.596008,0,Europe/Paris,1
1ACAS,16233,Acacias,47.503646,-0.586375,0,Europe/Paris,1
1BAMA,24604,Bamako,47.452165,-0.556459,0,Europe/Paris,1
1BASC,4827,Bascule,47.508686,-0.591659,0,Europe/Paris,1
1BMAI,16196,Berges de Maine,47.479341,-0.549382,0,Europe/Paris,1
1BOTA,24128,Terra Botanica,47.49422,-0.57469,0,Europe/Paris,1
1BROY,32629,Bois du Roy,47.499605,-0.583159,0,Europe/Paris,1
1CAPU,29904,Capucins,47.486888,-0.555233,0,Europe/Paris,1
1CECO,519627,Centre de Congrès,47.474189,-0.546046,0,Europe/Paris,1
1FMBL,11327,Foch-Maison Bleue,47.468992,-0.549756,0,Europe/Paris,1
1HARA,24652,Foch-Haras,47.466815,-0.552657,0,Europe/Paris,1
1HDVA,194430,Hôtel de Ville,47.471695,-0.546791,0,Europe/Paris,1
1HOPA,24731,CHU-Hôpital,47.481385,-0.554158,0,Europe/Paris,1
1HSAU,3016,Hauts de St-Aubin,47.492152,-0.560422,0,Europe/Paris,1
1JE23,24624,Jean XXIII,47.448607,-0.562932,0,Europe/Paris,1
1JMOU,4159,Jean Moulin,47.490467,-0.552195,0,Europe/Paris,1
1JVIL,20509,Jean Vilar,47.445072,-0.562326,0,Europe/Paris,1
1LAFA,31950,La Fayette,47.460812,-0.554723,0,Europe/Paris,1
1LGAR,20910,Les Gares,47.464465,-0.555465,0,Europe/Paris,1
1PMAY,17915,Plateau Mayenne,47.49571,-0.580051,0,Europe/Paris,1
1STGI,23494,St-Gilles,47.506512,-0.589539,0,Europe/Paris,1
1STRA,7319,Strasbourg,47.456676,-0.5540389999999999,0,Europe/Paris,1
1STSE,901361,St-Serge Université,47.476135,-0.55067,0,Europe/Paris,1
1VERN,25220,Verneau,47.492457,-0.567175,0,Europe/Paris,1
2ACAS,12080,Acacias,47.503682,-0.586328,0,Europe/Paris,1
2ANRO,32091,Roseraie,47.443902,-0.554032,0,Europe/Paris,1
2BAMA,30251,Bamako,47.45211,-0.55637,0,Europe/Paris,1
2BASC,3822,Bascule,47.508781,-0.591492,0,Europe/Paris,1
2BMAI,28864,Berges de Maine,47.479441,-0.54937,0,Europe/Paris,1
2BOTA,22213,Terra Botanica,47.494189,-0.574854,0,Europe/Paris,1
2BROY,31784,Bois du Roy,47.499664,-0.583055,0,Europe/Paris,1
2CAPU,3726,Capucins,47.486819,-0.555139,0,Europe/Paris,1
2CECO,363258,Centre de Congrès,47.474266,-0.5461,0,Europe/Paris,1
2FMBL,3788,Foch-Maison Bleue,47.468932,-0.549656,0,Europe/Paris,1
2HARA,14426,Foch-Haras,47.466749,-0.552567,0,Europe/Paris,1
2HDVA,184082,Hôtel de Ville,47.47166,-0.546669,0,Europe/Paris,1
