route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
NUIT,AFF2526-NUIT-7-jours-00-0000001-NUIT,6052523,IRIGO NUIT,6052523,1,NUIT0048,1,0
22,AFF2526-LAV_22-Semaine-00-22,6052541,ANGERS Gares Papin,6052541,0,220049,0,0
22,AFF2526-LAV_22-Semaine-00-22,6052542,ANGERS Gares Papin,6052542,0,220049,0,0
22,AFF2526-SAM_22-Samedi-00-22,6052955,BOUCHEMAINE Chantourteau,6052955,1,220050,0,0
22,AFF2526-SAM_22-Samedi-00-22,6052958,ANGERS Gares Papin,6052958,0,220049,0,0
22,AFF2526-LAV_22-Semaine-00-22,6052559,BOUCHEMAINE Chantourteau,6052559,1,220050,0,0
22,AFF2526-LAV_22-Semaine-00-22,6052560,BOUCHEMAINE Chantourteau,6052560,1,220050,0,0
22,AFF2526-LAV_22-Semaine-00-22,6052532,ANGERS Gares Papin,6052532,0,220049,0,0
22,AFF2526-LAV_22-Semaine-00-22,6052533,ANGERS Gares Papin,6052533,0,220049,0,0
22,AFF2526-LAV_22-Semaine-00-22,6052556,BOUCHEMAINE Chantourteau,6052556,1,220050,0,0
22,AFF2526-LAV_22-Semaine-00-22,6052557,BOUCHEMAINE Chantourteau,6052557,1,220050,0,0
NUIT,chouette:TimeTable:e2c96074-598d-46a9-8fd9-adbf969f7a2d:LOC,6052521,IRIGO NUIT,6052521,1,NUIT0048,1,0
NUIT,chouette:TimeTable:e2c96074-598d-46a9-8fd9-adbf969f7a2d:LOC,6052522,IRIGO NUIT,6052522,1,NUIT0048,1,0
22,AFF2526-SAM_22-Samedi-00-22,6052959,ANGERS Gares Papin,6052959,0,220049,0,0
22,AFF2526-SAM_22-Samedi-00-22,6052960,ANGERS Gares Papin,6052960,0,220049,0,0
22,AFF2526-LAV_22-Semaine-00-22,6052528,ANGERS Gares Papin,6052528,0,220049,0,0
22,AFF2526-LAV_22-Semaine-00-22,6052529,ANGERS Gares Papin,6052529,0,220049,0,0
22,AFF2526-LAV_22-Semaine-00-22,6052558,BOUCHEMAINE Chantourteau,6052558,1,220050,0,0
22,AFF2526-LAV_22-Semaine-00-22,6052555,BOUCHEMAINE Chantourteau,6052555,1,220050,0,0
22,AFF2526-SAM_22-Samedi-00-22,6052964,ANGERS Gares Papin,6052964,0,220049,0,0
22,AFF2526-SAM_22-Samedi-00-22,6052965,ANGERS Gares Papin,6052965,0,220049,0,0
22,AFF2526-LAV_22-Semaine-00-22,6052546,BOUCHEMAINE Chantourteau,6052546,1,220050,0,0
22,AFF2526-LAV_22-Semaine-00-22,6052548,BOUCHEMAINE Chantourteau,6052548,1,220050,0,0
22,AFF2526-LAV_22-Semaine-00-22,6052545,BOUCHEMAINE Chantourteau,6052545,1,220050,0,0
NUIT,chouette:TimeTable:bc520e62-3e9d-4cec-a8ad-c63ba5976a7d:LOC,6052515,IRIGO NUIT,6052515,1,NUIT0048,1,0
